gene_id,log2fc,pvalue,padj,base_mean
Actb,-0.4853,0.032108,0.611042,69060.979
Gapdh,0.3118,0.335675,0.860508,74855.102
Tbp,-0.0196,0.957577,0.981468,51184.666
Rpl13a,0.528,0.0644954,0.690752,62237.983
B2m,-0.1533,0.415714,0.892319,31338.277
Ppia,-0.3926,0.132967,0.809878,54234.95
Hprt,-0.0366,0.912511,0.981468,83039.492
Havcr1,3.3751,0.000138376,0.0135147,5161.455
Lcn2,2.3448,0.000829001,0.0431749,11506.514
Timp1,3.2826,8.03915e-06,0.00237959,330.418
Col1a1,2.8933,3.15081e-06,0.00186528,641.155
Fn1,3.4171,3.24656e-05,0.00480491,1350.481
Ccl2,3.4395,4.29552e-05,0.00508589,5770.131
Spp1,3.3487,0.000328467,0.0242409,1384.503
Vim,2.4351,0.00125715,0.0531597,141.45
Adgre1,2.7814,0.000875166,0.0431749,166.289
Tgfb1,3.1875,0.00098976,0.0450722,241.319
Slc34a1,-2.8162,0.000368528,0.0242409,222.817
Lrp2,-2.1118,0.000855642,0.0431749,7071.575
Umod,-3.1362,0.000159802,0.0135147,109.262
Kap,-2.9465,0.00526872,0.207939,74.375
Slc12a1,-2.5076,0.00979788,0.322241,92.491
Aqp2,-2.9279,2.9467e-05,0.00480491,236.438
Cd36,-0.4868,0.0512109,0.690752,588.933
Scd1,0.2716,0.612488,0.912762,82.141
Mogat1,-0.3349,0.191408,0.845622,604.885
Cidec,0.466,0.154341,0.809878,219.212
Saa3,-0.1502,0.447672,0.906469,884.193
Cyp7b1,-0.2317,0.100817,0.809878,1354.09
Acox1,-0.4286,0.440115,0.902292,84.536
Hmgcs2,-0.145,0.784964,0.960183,651.699
Ppargc1a,0.527,0.0550846,0.690752,51.149
Gm10000,-0.0179,0.88562,0.973699,53.141
Gm10001,-0.2254,0.555325,0.906469,91.423
Gm10002,0.0078,0.933999,0.981468,103.282
Gm10003,0.2686,0.277311,0.84859,1755.204
Gm10004,0.1131,0.871272,0.973699,366.063
Gm10005,-0.1042,0.760573,0.955225,1818.928
Gm10006,0.3107,0.097621,0.809878,41.264
Gm10007,-0.4163,0.0884769,0.805821,126.547
Gm10008,0.2574,0.352157,0.880065,517.757
Gm10009,0.2496,0.306688,0.860508,991.448
Gm10010,-0.0244,0.906697,0.981468,105.486
Gm10011,0.0687,0.668763,0.942638,109.712
Gm10012,0.2806,0.823354,0.973699,225.691
Gm10013,-0.7149,0.0434011,0.690752,220.161
Gm10014,0.2107,0.320629,0.860508,3144.728
Gm10015,-0.0096,0.767886,0.955225,624.899
Gm10016,-0.3655,0.1985,0.84859,1447.26
Gm10017,0.3144,0.424529,0.894382,681.721
Gm10018,0.115,0.620836,0.912762,1518.911
Gm10019,0.0775,0.694335,0.946939,312.023
Gm10020,-0.5874,0.165532,0.809878,99.589
Gm10021,-0.2464,0.206447,0.84859,133.125
Gm10022,0.2244,0.570368,0.906469,57.287
Gm10023,0.0076,0.877534,0.973699,67.456
Gm10024,-0.2266,0.353634,0.880065,171.246
Gm10025,0.5832,0.109049,0.809878,131.969
Gm10026,-0.0205,0.861898,0.973699,443.475
Gm10027,0.0544,0.812009,0.97113,651.349
Gm10028,0.1392,0.872946,0.973699,113.439
Gm10029,0.1064,0.740545,0.953049,645.943
Gm10030,-0.4132,0.0449226,0.690752,7391.841
Gm10031,-0.1983,0.0938669,0.809878,4528.153
Gm10032,-0.0188,0.97407,0.990807,608.816
Gm10033,0.1782,0.352314,0.880065,1550.946
Gm10034,0.2817,0.339738,0.866917,1885.58
Gm10035,-0.1299,0.681175,0.946939,161.118
Gm10036,0.0447,0.837181,0.973699,3950.638
Gm10037,0.4527,0.118598,0.809878,69.222
Gm10038,-0.1724,0.593066,0.906469,41.687
Gm10039,-0.1481,0.503547,0.906469,100.652
Gm10040,0.1224,0.517657,0.906469,205.153
Gm10041,0.2322,0.465449,0.906469,247.025
Gm10042,-0.1957,0.377439,0.892319,598.116
Gm10043,-0.3046,0.13623,0.809878,75.111
Gm10044,-0.2599,0.387727,0.892319,1845.37
Gm10045,-0.3556,0.310075,0.860508,372.361
Gm10046,-0.4465,0.162124,0.809878,4527.621
Gm10047,0.1005,0.855003,0.973699,177.241
Gm10048,0.0013,0.938475,0.981468,208.596
Gm10049,-0.3327,0.160646,0.809878,67.266
Gm10050,-0.1149,0.86899,0.973699,83.353
Gm10051,0.1338,0.57682,0.906469,1039.047
Gm10052,-0.1734,0.563999,0.906469,225.318
Gm10053,-0.5296,0.595301,0.906469,71.72
Gm10054,-0.0709,0.715161,0.946939,73.955
Gm10055,-0.296,0.272119,0.84859,178.266
Gm10056,0.1273,0.711377,0.946939,333.933
Gm10057,-0.3217,0.144219,0.809878,512.896
Gm10058,-0.0847,0.874842,0.973699,416.406
Gm10059,-0.1747,0.492277,0.906469,94.591
Gm10060,0.4656,0.171739,0.819916,45.006
Gm10061,-0.4669,0.0697485,0.690752,5661.638
Gm10062,0.0969,0.799868,0.964403,391.595
Gm10063,-0.0125,0.944116,0.981468,285.647
Gm10064,0.343,0.18811,0.845622,148.884
Gm10065,0.0004,0.968257,0.989997,1266.355
Gm10066,-0.3917,0.2395,0.84859,668.333
Gm10067,-0.4081,0.261412,0.84859,447.284
Gm10068,0.3644,0.0227556,0.553501,139.063
Gm10069,0.4487,0.459315,0.906469,38.002
Gm10070,-0.0915,0.565946,0.906469,575.308
Gm10071,-0.1553,0.5979,0.906469,25.692
Gm10072,0.0398,0.837241,0.973699,1317.709
Gm10073,-0.2557,0.391773,0.892319,741.363
Gm10074,0.23,0.231982,0.84859,146.629
Gm10075,-0.1057,0.75022,0.953175,330.57
Gm10076,-0.0874,0.711024,0.946939,179.168
Gm10077,-0.1042,0.5882,0.906469,4239.024
Gm10078,-0.5363,0.520335,0.906469,38.011
Gm10079,0.0477,0.76121,0.955225,626.928
Gm10080,0.6276,0.027594,0.563298,1340.322
Gm10081,-0.2525,0.410418,0.892319,88.044
Gm10082,-0.316,0.221688,0.84859,334.125
Gm10083,-0.3934,0.379983,0.892319,212.825
Gm10084,-0.2043,0.400097,0.892319,3754.007
Gm10085,-0.3254,0.251513,0.84859,349.787
Gm10086,-0.1272,0.993449,0.996817,137.405
Gm10087,-0.2458,0.460072,0.906469,172.248
Gm10088,0.1986,0.371254,0.892319,870.722
Gm10089,-0.3908,0.227222,0.84859,92.904
Gm10090,0.1761,0.480601,0.906469,95.993
Gm10091,-0.362,0.335773,0.860508,41.654
Gm10092,-0.1805,0.417631,0.892554,3653.35
Gm10093,0.1247,0.665993,0.941534,465.709
Gm10094,0.1623,0.365913,0.892319,91.576
Gm10095,-0.1894,0.587836,0.906469,89.306
Gm10096,-0.2241,0.24356,0.84859,175.34
Gm10097,0.1244,0.548903,0.906469,393.7
Gm10098,0.1349,0.548289,0.906469,140.029
Gm10099,0.03,0.870264,0.973699,5111.845
Gm10100,0.5059,0.247531,0.84859,79.629
Gm10101,0.6949,0.419526,0.892931,52.891
Gm10102,-0.0836,0.707012,0.946939,272.236
Gm10103,0.2381,0.4823,0.906469,185.552
Gm10104,-0.4887,0.0467037,0.690752,297.712
Gm10105,-0.3833,0.30508,0.860508,75.689
Gm10106,-0.3399,0.250557,0.84859,341.567
Gm10107,0.1311,0.644186,0.925626,2883.897
Gm10108,-0.0738,0.845806,0.973699,2640.795
Gm10109,-0.2238,0.474017,0.906469,514.635
Gm10110,-0.6171,0.0970964,0.809878,100.875
Gm10111,-0.1062,0.569168,0.906469,833.431
Gm10112,-0.1228,0.560319,0.906469,47.222
Gm10113,-0.2653,0.243643,0.84859,3150.191
