gene_id,GSM9000017,GSM9000018,GSM9000019,GSM9000020,GSM9000021,GSM9000022
Actb,13.5349,13.5584,13.0656,13.5947,13.5739,13.3512
Gapdh,12.9174,12.8129,13.064,13.2439,13.5303,13.0643
Tbp,13.3995,13.6998,13.6733,13.0016,13.6234,13.5173
Rpl13a,14.4595,14.3543,14.1129,14.3432,14.2631,13.9424
B2m,13.5,13.7197,13.3338,13.6075,13.3574,13.6542
Ppia,13.3539,12.9416,13.3829,13.1947,13.467,13.2037
Hprt,13.4419,13.4229,13.9502,13.8298,14.12,13.8079
Havcr1,5.0209,5.7453,6.0126,8.0271,7.8352,7.5297
Lcn2,3.9652,3.9224,3.6164,7.2951,7.1304,7.3569
Timp1,4.3579,4.0238,4.2536,6.7466,6.5336,6.7291
Col1a1,3.8507,3.7279,3.8351,7.092,7.2083,7.2334
Fn1,5.2961,5.715,5.9743,8.0245,8.3472,8.2846
Ccl2,4.3487,4.5112,4.4202,7.3891,7.4751,7.8287
Spp1,6.4128,6.4555,6.2899,6.0998,6.6211,6.8359
Vim,4.8598,5.1557,5.01,5.4518,5.1928,5.4591
Adgre1,5.5228,5.8009,5.8486,5.9415,5.688,5.2201
Tgfb1,4.0619,3.5718,3.6588,3.9199,3.3419,3.6315
Slc34a1,8.4886,8.3308,8.3782,5.3698,5.774,5.3028
Lrp2,5.9589,6.3424,6.025,3.4096,3.3141,3.2818
Umod,4.3204,4.3919,4.1684,1.2063,1.4133,1.9644
Kap,6.3681,5.457,5.8255,3.0791,2.7363,3.2762
Slc12a1,6.2931,6.2058,6.3539,6.2878,6.5033,6.0156
Aqp2,2.577,2.5086,3.1083,2.5439,2.8322,2.4487
Cd36,7.0076,7.3935,7.4934,7.741,7.3395,7.3353
Scd1,4.538,4.5083,4.3736,4.4628,4.5149,5.0429
Mogat1,4.7696,4.5759,4.787,4.8848,4.7612,4.6837
Cidec,8.588,8.3786,8.8754,8.9441,8.694,8.1607
Saa3,5.3835,5.6137,5.5322,5.336,5.2217,5.3513
Cyp7b1,7.2782,7.6988,7.2394,7.2012,7.0361,7.0407
Acox1,6.1423,6.2905,6.214,5.7495,6.4988,6.931
Hmgcs2,3.6167,3.7383,3.9277,3.5043,4.1728,3.8695
Ppargc1a,2.891,3.2105,2.6936,3.6486,3.1345,2.74
Gm10000,4.7273,4.9483,5.2718,5.2054,4.6168,5.1543
Gm10001,6.0915,6.1595,6.5031,5.8214,6.3351,6.5284
Gm10002,6.9424,6.754,6.8964,7.5,7.0604,6.9337
Gm10003,9.7403,9.3592,9.4522,9.162,9.6732,9.7807
Gm10004,5.0313,5.0175,4.3849,4.4961,4.7465,4.664
Gm10005,9.0352,8.4037,9.387,8.7077,9.1481,8.8202
Gm10006,3.2663,2.9656,3.0421,3.3325,3.2254,3.3648
Gm10007,9.1768,10.0121,9.702,9.7324,9.7791,10.0447
Gm10008,4.7189,4.9857,5.3853,5.2219,4.7469,5.1969
Gm10009,3.8415,3.7655,3.6879,3.1365,3.6771,3.5254
Gm10010,6.0283,6.6113,6.6931,6.5683,6.3399,6.229
Gm10011,2.46,2.7415,2.9735,2.5782,2.824,3.2007
Gm10012,8.154,8.0939,8.4147,8.5911,7.7067,7.8063
Gm10013,6.3968,6.1426,5.9319,6.203,6.0544,5.9039
Gm10014,7.2369,7.4047,7.3979,7.3832,7.0822,7.5454
Gm10015,5.5838,5.3329,5.6667,5.04,5.2619,5.5505
Gm10016,4.86,4.7098,5.1153,5.6151,4.3851,4.9084
Gm10017,5.6644,5.8595,6.0384,5.6669,5.8824,5.6908
Gm10018,7.6187,7.7565,7.7693,7.9239,8.0051,7.6501
Gm10019,8.0442,8.2256,8.1715,7.4958,7.8566,8.0685
