gene_id,symbol,name,species,ensembl,entrez,biotype,synonyms
Actb,Actb,actin beta,Mus musculus,,,protein_coding,
Gapdh,Gapdh,glyceraldehyde-3-phosphate dehydrogenase,Mus musculus,,,protein_coding,
Tbp,Tbp,,Mus musculus,,,protein_coding,
Rpl13a,Rpl13a,,Mus musculus,,,protein_coding,
B2m,B2m,,Mus musculus,,,protein_coding,
Ppia,Ppia,,Mus musculus,,,protein_coding,
Hprt,Hprt,,Mus musculus,,,protein_coding,
Havcr1,Havcr1,hepatitis A virus cellular receptor 1 (Kim-1),Mus musculus,,,protein_coding,
Lcn2,Lcn2,lipocalin 2 (NGAL),Mus musculus,,,protein_coding,
Timp1,Timp1,,Mus musculus,,,protein_coding,
Col1a1,Col1a1,collagen type I alpha 1 chain,Mus musculus,,,protein_coding,
Fn1,Fn1,,Mus musculus,,,protein_coding,
Ccl2,Ccl2,,Mus musculus,,,protein_coding,
Spp1,Spp1,,Mus musculus,,,protein_coding,
Vim,Vim,,Mus musculus,,,protein_coding,
Adgre1,Adgre1,,Mus musculus,,,protein_coding,
Tgfb1,Tgfb1,,Mus musculus,,,protein_coding,
Slc34a1,Slc34a1,solute carrier family 34 member 1,Mus musculus,,,protein_coding,
Lrp2,Lrp2,,Mus musculus,,,protein_coding,
Umod,Umod,uromodulin,Mus musculus,,,protein_coding,
Kap,Kap,,Mus musculus,,,protein_coding,
Slc12a1,Slc12a1,,Mus musculus,,,protein_coding,
Aqp2,Aqp2,,Mus musculus,,,protein_coding,
Cd36,Cd36,CD36 molecule,Mus musculus,,,protein_coding,
Scd1,Scd1,,Mus musculus,,,protein_coding,
Mogat1,Mogat1,,Mus musculus,,,protein_coding,
Cidec,Cidec,,Mus musculus,,,protein_coding,
Saa3,Saa3,,Mus musculus,,,protein_coding,
Cyp7b1,Cyp7b1,,Mus musculus,,,protein_coding,
Acox1,Acox1,,Mus musculus,,,protein_coding,
Hmgcs2,Hmgcs2,,Mus musculus,,,protein_coding,
Ppargc1a,Ppargc1a,,Mus musculus,,,protein_coding,
Gm10000,Gm10000,,Mus musculus,,,protein_coding,
Gm10001,Gm10001,,Mus musculus,,,protein_coding,
Gm10002,Gm10002,,Mus musculus,,,protein_coding,
Gm10003,Gm10003,,Mus musculus,,,protein_coding,
Gm10004,Gm10004,,Mus musculus,,,protein_coding,
Gm10005,Gm10005,,Mus musculus,,,protein_coding,
Gm10006,Gm10006,,Mus musculus,,,protein_coding,
Gm10007,Gm10007,,Mus musculus,,,protein_coding,
Gm10008,Gm10008,,Mus musculus,,,protein_coding,
Gm10009,Gm10009,,Mus musculus,,,protein_coding,
Gm10010,Gm10010,,Mus musculus,,,protein_coding,
Gm10011,Gm10011,,Mus musculus,,,protein_coding,
Gm10012,Gm10012,,Mus musculus,,,protein_coding,
Gm10013,Gm10013,,Mus musculus,,,protein_coding,
Gm10014,Gm10014,,Mus musculus,,,protein_coding,
Gm10015,Gm10015,,Mus musculus,,,protein_coding,
Gm10016,Gm10016,,Mus musculus,,,protein_coding,
Gm10017,Gm10017,,Mus musculus,,,protein_coding,
Gm10018,Gm10018,,Mus musculus,,,protein_coding,
Gm10019,Gm10019,,Mus musculus,,,protein_coding,
Gm10020,Gm10020,,Mus musculus,,,protein_coding,
Gm10021,Gm10021,,Mus musculus,,,protein_coding,
Gm10022,Gm10022,,Mus musculus,,,protein_coding,
Gm10023,Gm10023,,Mus musculus,,,protein_coding,
Gm10024,Gm10024,,Mus musculus,,,protein_coding,
Gm10025,Gm10025,,Mus musculus,,,protein_coding,
Gm10026,Gm10026,,Mus musculus,,,protein_coding,
Gm10027,Gm10027,,Mus musculus,,,protein_coding,
Gm10028,Gm10028,,Mus musculus,,,protein_coding,
Gm10029,Gm10029,,Mus musculus,,,protein_coding,
Gm10030,Gm10030,,Mus musculus,,,protein_coding,
Gm10031,Gm10031,,Mus musculus,,,protein_coding,
Gm10032,Gm10032,,Mus musculus,,,protein_coding,
Gm10033,Gm10033,,Mus musculus,,,protein_coding,
Gm10034,Gm10034,,Mus musculus,,,protein_coding,
Gm10035,Gm10035,,Mus musculus,,,protein_coding,
Gm10036,Gm10036,,Mus musculus,,,protein_coding,
Gm10037,Gm10037,,Mus musculus,,,protein_coding,
Gm10038,Gm10038,,Mus musculus,,,protein_coding,
Gm10039,Gm10039,,Mus musculus,,,protein_coding,
Gm10040,Gm10040,,Mus musculus,,,protein_coding,
Gm10041,Gm10041,,Mus musculus,,,protein_coding,
Gm10042,Gm10042,,Mus musculus,,,protein_coding,
Gm10043,Gm10043,,Mus musculus,,,protein_coding,
Gm10044,Gm10044,,Mus musculus,,,protein_coding,
Gm10045,Gm10045,,Mus musculus,,,protein_coding,
Gm10046,Gm10046,,Mus musculus,,,protein_coding,
Gm10047,Gm10047,,Mus musculus,,,protein_coding,
Gm10048,Gm10048,,Mus musculus,,,protein_coding,
Gm10049,Gm10049,,Mus musculus,,,protein_coding,
Gm10050,Gm10050,,Mus musculus,,,protein_coding,
Gm10051,Gm10051,,Mus musculus,,,protein_coding,
Gm10052,Gm10052,,Mus musculus,,,protein_coding,
Gm10053,Gm10053,,Mus musculus,,,protein_coding,
Gm10054,Gm10054,,Mus musculus,,,protein_coding,
Gm10055,Gm10055,,Mus musculus,,,protein_coding,
Gm10056,Gm10056,,Mus musculus,,,protein_coding,
Gm10057,Gm10057,,Mus musculus,,,protein_coding,
Gm10058,Gm10058,,Mus musculus,,,protein_coding,
Gm10059,Gm10059,,Mus musculus,,,protein_coding,
Gm10060,Gm10060,,Mus musculus,,,protein_coding,
Gm10061,Gm10061,,Mus musculus,,,protein_coding,
Gm10062,Gm10062,,Mus musculus,,,protein_coding,
Gm10063,Gm10063,,Mus musculus,,,protein_coding,
Gm10064,Gm10064,,Mus musculus,,,protein_coding,
Gm10065,Gm10065,,Mus musculus,,,protein_coding,
Gm10066,Gm10066,,Mus musculus,,,protein_coding,
Gm10067,Gm10067,,Mus musculus,,,protein_coding,
Gm10068,Gm10068,,Mus musculus,,,protein_coding,
Gm10069,Gm10069,,Mus musculus,,,protein_coding,
Gm10070,Gm10070,,Mus musculus,,,protein_coding,
Gm10071,Gm10071,,Mus musculus,,,protein_coding,
Gm10072,Gm10072,,Mus musculus,,,protein_coding,
Gm10073,Gm10073,,Mus musculus,,,protein_coding,
Gm10074,Gm10074,,Mus musculus,,,protein_coding,
Gm10075,Gm10075,,Mus musculus,,,protein_coding,
Gm10076,Gm10076,,Mus musculus,,,protein_coding,
Gm10077,Gm10077,,Mus musculus,,,protein_coding,
Gm10078,Gm10078,,Mus musculus,,,protein_coding,
Gm10079,Gm10079,,Mus musculus,,,protein_coding,
Gm10080,Gm10080,,Mus musculus,,,protein_coding,
Gm10081,Gm10081,,Mus musculus,,,protein_coding,
Gm10082,Gm10082,,Mus musculus,,,protein_coding,
Gm10083,Gm10083,,Mus musculus,,,protein_coding,
Gm10084,Gm10084,,Mus musculus,,,protein_coding,
Gm10085,Gm10085,,Mus musculus,,,protein_coding,
Gm10086,Gm10086,,Mus musculus,,,protein_coding,
Gm10087,Gm10087,,Mus musculus,,,protein_coding,
Gm10088,Gm10088,,Mus musculus,,,protein_coding,
Gm10089,Gm10089,,Mus musculus,,,protein_coding,
Gm10090,Gm10090,,Mus musculus,,,protein_coding,
Gm10091,Gm10091,,Mus musculus,,,protein_coding,
Gm10092,Gm10092,,Mus musculus,,,protein_coding,
Gm10093,Gm10093,,Mus musculus,,,protein_coding,
Gm10094,Gm10094,,Mus musculus,,,protein_coding,
Gm10095,Gm10095,,Mus musculus,,,protein_coding,
Gm10096,Gm10096,,Mus musculus,,,protein_coding,
Gm10097,Gm10097,,Mus musculus,,,protein_coding,
Gm10098,Gm10098,,Mus musculus,,,protein_coding,
Gm10099,Gm10099,,Mus musculus,,,protein_coding,
Gm10100,Gm10100,,Mus musculus,,,protein_coding,
Gm10101,Gm10101,,Mus musculus,,,protein_coding,
Gm10102,Gm10102,,Mus musculus,,,protein_coding,
Gm10103,Gm10103,,Mus musculus,,,protein_coding,
Gm10104,Gm10104,,Mus musculus,,,protein_coding,
Gm10105,Gm10105,,Mus musculus,,,protein_coding,
Gm10106,Gm10106,,Mus musculus,,,protein_coding,
Gm10107,Gm10107,,Mus musculus,,,protein_coding,
Gm10108,Gm10108,,Mus musculus,,,protein_coding,
Gm10109,Gm10109,,Mus musculus,,,protein_coding,
Gm10110,Gm10110,,Mus musculus,,,protein_coding,
Gm10111,Gm10111,,Mus musculus,,,protein_coding,
Gm10112,Gm10112,,Mus musculus,,,protein_coding,
Gm10113,Gm10113,,Mus musculus,,,protein_coding,
Gm10114,Gm10114,,Mus musculus,,,protein_coding,
Gm10115,Gm10115,,Mus musculus,,,protein_coding,
Gm10116,Gm10116,,Mus musculus,,,protein_coding,
Gm10117,Gm10117,,Mus musculus,,,protein_coding,
Gm10118,Gm10118,,Mus musculus,,,protein_coding,
Gm10119,Gm10119,,Mus musculus,,,protein_coding,
Gm10120,Gm10120,,Mus musculus,,,protein_coding,
Gm10121,Gm10121,,Mus musculus,,,protein_coding,
Gm10122,Gm10122,,Mus musculus,,,protein_coding,
Gm10123,Gm10123,,Mus musculus,,,protein_coding,
Gm10124,Gm10124,,Mus musculus,,,protein_coding,
Gm10125,Gm10125,,Mus musculus,,,protein_coding,
Gm10126,Gm10126,,Mus musculus,,,protein_coding,
Gm10127,Gm10127,,Mus musculus,,,protein_coding,
Gm10128,Gm10128,,Mus musculus,,,protein_coding,
Gm10129,Gm10129,,Mus musculus,,,protein_coding,
Gm10130,Gm10130,,Mus musculus,,,protein_coding,
Gm10131,Gm10131,,Mus musculus,,,protein_coding,
Gm10132,Gm10132,,Mus musculus,,,protein_coding,
Gm10133,Gm10133,,Mus musculus,,,protein_coding,
Gm10134,Gm10134,,Mus musculus,,,protein_coding,
Gm10135,Gm10135,,Mus musculus,,,protein_coding,
Gm10136,Gm10136,,Mus musculus,,,protein_coding,
Gm10137,Gm10137,,Mus musculus,,,protein_coding,
Gm10138,Gm10138,,Mus musculus,,,protein_coding,
Gm10139,Gm10139,,Mus musculus,,,protein_coding,
Gm10140,Gm10140,,Mus musculus,,,protein_coding,
Gm10141,Gm10141,,Mus musculus,,,protein_coding,
Gm10142,Gm10142,,Mus musculus,,,protein_coding,
Gm10143,Gm10143,,Mus musculus,,,protein_coding,
Gm10144,Gm10144,,Mus musculus,,,protein_coding,
Gm10145,Gm10145,,Mus musculus,,,protein_coding,
Gm10146,Gm10146,,Mus musculus,,,protein_coding,
Gm10147,Gm10147,,Mus musculus,,,protein_coding,
Gm10148,Gm10148,,Mus musculus,,,protein_coding,
Gm10149,Gm10149,,Mus musculus,,,protein_coding,
Gm10150,Gm10150,,Mus musculus,,,protein_coding,
Gm10151,Gm10151,,Mus musculus,,,protein_coding,
Gm10152,Gm10152,,Mus musculus,,,protein_coding,
Gm10153,Gm10153,,Mus musculus,,,protein_coding,
Gm10154,Gm10154,,Mus musculus,,,protein_coding,
Gm10155,Gm10155,,Mus musculus,,,protein_coding,
Gm10156,Gm10156,,Mus musculus,,,protein_coding,
Gm10157,Gm10157,,Mus musculus,,,protein_coding,
Gm10158,Gm10158,,Mus musculus,,,protein_coding,
Gm10159,Gm10159,,Mus musculus,,,protein_coding,
Gm10160,Gm10160,,Mus musculus,,,protein_coding,
Gm10161,Gm10161,,Mus musculus,,,protein_coding,
Gm10162,Gm10162,,Mus musculus,,,protein_coding,
Gm10163,Gm10163,,Mus musculus,,,protein_coding,
Gm10164,Gm10164,,Mus musculus,,,protein_coding,
Gm10165,Gm10165,,Mus musculus,,,protein_coding,
Gm10166,Gm10166,,Mus musculus,,,protein_coding,
Gm10167,Gm10167,,Mus musculus,,,protein_coding,
Gm10168,Gm10168,,Mus musculus,,,protein_coding,
Gm10169,Gm10169,,Mus musculus,,,protein_coding,
Gm10170,Gm10170,,Mus musculus,,,protein_coding,
Gm10171,Gm10171,,Mus musculus,,,protein_coding,
Gm10172,Gm10172,,Mus musculus,,,protein_coding,
Gm10173,Gm10173,,Mus musculus,,,protein_coding,
Gm10174,Gm10174,,Mus musculus,,,protein_coding,
Gm10175,Gm10175,,Mus musculus,,,protein_coding,
Gm10176,Gm10176,,Mus musculus,,,protein_coding,
Gm10177,Gm10177,,Mus musculus,,,protein_coding,
Gm10178,Gm10178,,Mus musculus,,,protein_coding,
Gm10179,Gm10179,,Mus musculus,,,protein_coding,
Gm10180,Gm10180,,Mus musculus,,,protein_coding,
Gm10181,Gm10181,,Mus musculus,,,protein_coding,
Gm10182,Gm10182,,Mus musculus,,,protein_coding,
Gm10183,Gm10183,,Mus musculus,,,protein_coding,
Gm10184,Gm10184,,Mus musculus,,,protein_coding,
Gm10185,Gm10185,,Mus musculus,,,protein_coding,
Gm10186,Gm10186,,Mus musculus,,,protein_coding,
Gm10187,Gm10187,,Mus musculus,,,protein_coding,
